Exam,Year,Subject,Reference Instructions,No.,Question,Option A,Option B,Option C,Option D,Correct Answer
Jamb,2010,Biology,,1,The dominant phase in the life cycle of a fern is the?,gametophyte,prothallus,sporophyte,antheridium,C
Jamb,2010,Biology,,2,Which of the following characterizes a mature plant cell?,the cytoplasm fills up the entire cell space,the nucleus is pushed to the centre of the cell,the cell wall is made up of cellulose,the nucleus is small and irregular in shape,C
Jamb,2010,Biology,,3,Which of the following is NOT a function of the nucleus of a cell?,it controls the life processes of the cell,it translates genetic information for the manufacture of proteins,it stores and carries hereditary information,it is reservoir of energy for the cell,D
Jamb,2010,Biology,,4,The dominant phase in the life cycle of a fern is the?,gametophyte,prothallus,sporophyte,antheridium,C
Jamb,2010,Biology,,5,Parental care is exhibited by,toads,snails,earthworms,birds,D
Jamb,2010,Biology,Use the diagram above to answer this question 6 and 7,6,"With respect to their decreasing dependence on aquatic conditions for reproduction, which of the following is the correct arrangement of the animals represented? (see image in page 1)","l, IV, II and lll","IV, lll, ll and l","l, ll, IV and lll","lll, ll, IV and l",B
Jamb,2010,Biology,Use the diagram above to answer this question 6 and 7,7,Which of the animals represents the oldest creatures in terms of evolutionary history? (see image in page 1),III,II,I,IV,D
Jamb,2010,Biology,,8,Which of the following groups of cells is devoid of true nuclei,algae,monera,fungi,viruses,D
Jamb,2010,Biology,Use the diagram below to answer this question 9 and 10,9,The main function of the feathers covering the part labelled I is to (see image in page 1),prevent ectoparasites from attacking the animal,generate heat to keep the animal warm,provide some power for flight,serve as insulator to maintain body heat,D
Jamb,2010,Biology,Use the diagram below to answer this question 9 and 10,10,"Based on the shape and structure of the beak and feet, the bird represented is likely to feed mainly on (see image in page 1)",flesh,fruits,seeds,nectar,A
Jamb,2010,Biology,,11,Which of the following is true of the transverse section of a dicot system?,the epidermis is completely encircled by the cortex,the xylem is more interiorly located than the phloem,the cambium lies between the cortex and the vascular bundles,the vascular bundles are randomly scattered within the cortex,B
Jamb,2010,Biology,Use the diagram above to answer this question 12 and 13,12,The movement of material in the xylem and phloem tissues of the plant are represented by the arrows labelled (see image in page 4),lll and IV respectively,ll and l respectively,l and ll respectively,l and lll respectively,A
Jamb,2010,Biology,Use the diagram above to answer this question 12 and 13,13,"During photosynthesis, the arrow labelled ll represents the (see image in page 4)",escape of mineral salts,absorption of energy from the sun,release of carbon (IV) oxide,release of oxygen as a by-product,D
Jamb,2010,Biology,,14,Which of the following is lacking in the diet of a person with kwashiorkor?,vitamins,proteins,-,-,B
Jamb,2010,Biology,,15,The mode of nutrition of sun dew and bladder wort can be described as,autotrophic,saprophytic,holozoic,chemosynthetic,C
Jamb,2010,Biology,,16,"When the mixture of a food substance and Benedict's solution was warmed, the solution changed from blue to black-red. This indicates the presence of",reducing sugar,fatty acid,sucrose,amino acid,A
Jamb,2010,Biology,,17,The primary structure responsible for pumping blood for circulation through the mammalian circulatory systems is the,veins,right auricle,arteries,left ventricle,C
Jamb,2010,Biology,,18,Circulation of blood to all parts of the body except the lungs is through,the pulmonary artery,systemic circulation,the lymphatic system,pulmonary circulation,B
Jamb,2010,Biology,,19,Yeast respires anaerobically to convert simple sugar to carbon (IV) oxide and,alcohol,acid,oxygen,water,A
Jamb,2010,Biology,,20,The sheet of muscle that separates the thoracic and the abdominal cavities is the,diaphragm,intercostal muscle,pleural membrane,pericardium,A
Jamb,2010,Biology,,21,The oily substance that lubricates the mammalian hair to keep it flexible and water repellent is secreted by the,sweet glands,sebaceous glands,fatty cells,granular layer,B
Jamb,2010,Biology,,22,The outer layer of the kidney where the Bowman's capsules are found is the,cortex,pelvis,medulla,pyramid,A
Jamb,2010,Biology,,23,Which of the following stimuli is likely to elicit a nastic response in an organism?,Touch,Light intensity,Chemical substances,Gravity,C
Jamb,2010,Biology,,24,"In the male reproductive system of a mammal, sperm is stored in the",van deferens,urethra,epididymis,seminiferous tubules,C
